master id,description,vampire inability,upgradable,max level,thumbnail,target type,cool time,action type,animate name,ai type,ex type,ai ex type,fun data,level,effect style,attack roate,passive,other skill,relation skill,start effect,special,buff,atk disable,melee dist,effect play,base effect,other effect,extend effect,damage style,damage effect,sound effect,atk info,note,"[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,0,0]",[],[],[],6,"[[2001, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 3, 0.4], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1101,물기둥,0,1,8,"[0, 0, 0]",4,-1,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.2]]","[[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",25]]",0,1,0,0,[],[],[],"[[3, 2, 1, 20, 1]]",0,0,"[0, 0, 4, 4, 2, 1, 0]","[1, 1, 0, 1, ""eft_skill_pillar.peft"", ""eft_skill_pillar_water.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_START"", 900, ""SE_MON_Fairy_Ice_Skill_01.ogg""]]",[],0,"[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,1,0]",[],[],[],6,"[[2002, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1102,불기둥,0,1,8,"[0, 1, 0]",4,-1,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.2]]","[[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",25]]",0,1,0,0,[],[],[],"[[3, 1, 1, 20, 1]]",0,0,"[0, 0, 4, 4, 2, 1, 0]","[1, 1, 0, 1, ""eft_skill_pillar.peft"", ""eft_skill_pillar_fire.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_START"", 900, ""SE_MON_Fairy_Fire_Skill_01.ogg""]]",[],0,"[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,2,0]",[],[],[],6,"[[2003, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1103,돌풍,0,1,8,"[0, 2, 0]",4,-1,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.2]]","[[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",25]]",0,1,0,0,[],[],[],"[[3, 1, 1, 20, 1]]",0,0,"[0, 0, 4, 4, 2, 1, 0]","[1, 1, 0, 1, ""eft_skill_hurricane.peft"", ""eft_skill_hurricane_wind.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_START"", 900, ""SE_MON_Fairy_Wind_Skill_01.ogg""]]",[],0,"[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,3,0]",[],[],[],6,"[[2004, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1104,빛기둥,0,1,8,"[0, 3, 0]",4,-1,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.2]]","[[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",25]]",0,1,0,0,[],[],[],"[[3, 1, 1, 20, 1]]",0,0,"[0, 0, 4, 4, 2, 1, 0]","[1, 1, 0, 1, ""eft_skill_pillar.peft"", ""eft_skill_pillar_light.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_START"", 900, ""SE_MON_Fairy_Ice_Skill_01.ogg""]]",[],0,"[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,4,0]",[],[],[],6,"[[2005, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1105,암흑 돌풍,0,1,8,"[0, 4, 0]",4,-1,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.2]]","[[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",5],[""AT"",10],[""DR"",25]]",0,1,0,0,[],[],[],"[[3, 1, 1, 20, 1]]",0,0,"[0, 0, 4, 4, 2, 1, 0]","[1, 1, 0, 1, ""eft_skill_hurricane.peft"", ""eft_skill_hurricane_dark.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_START"", 900, ""SE_MON_Fairy_Wind_Skill_01.ogg""]]",[],0,"[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,0,1]",[],[],[],6,"[[2001, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1106,정화의 손길,0,1,6,"[0, 5, 0]",2,2,3,BUFF,RC,RC,"[[4,""RC""]]","[[""ATK"", ""*"", 4]]","[[""HE"",5],[""HE"",5],[""HE"",10],[""HE"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 0, 4, 4, 2, 0, 0]","[1, 1, 0,1,  ""eft_skill_cure.peft"", ""eft_skill_cure.png""]",[],[],0,[],"[[""BUFF_START"", 150, ""SE_MON_Fairy_Ice_Skill_02.ogg""]]",[],0,"[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,1,1]",[],[],[],6,"[[2002, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1107,더블 애로우,0,1,6,"[0, 6, 0]",4,2,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.4]]","[[""AT"",5],[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 1, 1, 2, 1, 0, 0]","[1.5, 1, 0, 1, ""eft_skill_arrow.peft"", ""eft_skill_arrow_fire.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""]]",[],0,"[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,2,1]",[],[],[],6,"[[2003, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1108,정화의 손길,0,1,6,"[0, 5, 0]",2,2,3,BUFF,RC,RC,"[[4,""RC""]]","[[""ATK"", ""*"", 4]]","[[""HE"",5],[""HE"",5],[""HE"",10],[""HE"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 0, 4, 4, 2, 0, 0]","[1, 1, 0,1,  ""eft_skill_cure.peft"", ""eft_skill_cure.png""]",[],[],0,[],"[[""BUFF_START"", 150, ""SE_MON_Fairy_Ice_Skill_02.ogg""]]",[],0,"[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,3,1]",[],[],[],6,"[[2004, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1109,정화의 손길,0,1,6,"[0, 5, 0]",2,2,3,BUFF,RC,RC,"[[4,""RC""]]","[[""ATK"", ""*"", 4]]","[[""HE"",5],[""HE"",5],[""HE"",10],[""HE"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 0, 4, 4, 2, 0, 0]","[1, 1, 0,1,  ""eft_skill_cure.peft"", ""eft_skill_cure.png""]",[],[],0,[],"[[""BUFF_START"", 150, ""SE_MON_Fairy_Ice_Skill_02.ogg""]]",[],0,"[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,4,1]",[],[],[],6,"[[2005, 1, 4]]",[],[],0,0,"[0,0,0]",[],1,"[[1, 0, 1, 0.4], [2, 0, 1, 0.4], [3, 3, 3, 0.5], [4, 0, 1, 0.4], [5, 0, 1, 0.4], [6, 3, 5, 0.5], [7, 0, 1, 0.5], [8, 0, 1, 0.6], [9, 0, 1, 0.7], [10, 0, 1, 0.7]]"
1110,더블 애로우,0,1,6,"[0, 7, 0]",4,2,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.4]]","[[""AT"",5],[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 1, 1, 2, 1, 0, 0]","[1.5, 1, 0, 1, ""eft_skill_arrow.peft"", ""eft_skill_arrow_dark.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""]]",[],0,"[""unit_mdl_imp_water.dat""]",[],0,1,100,130,60,100,0,0,"[0,0,2]",[],[],[],6,"[[3001, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]",1,"[[1, 0, 1, 0.35], [2, 0, 1, 0.5], [3, 3, 3, 0.4], [4, 0, 1, 0.35], [5, 0, 1, 0.5], [6, 3, 3, 0.35], [7, 0, 1, 0.45], [8, 0, 1, 0.6], [9, 0, 1, 0.6], [10, 0, 1, 0.6]]"
