unit master id,unit name,unit name,group id,discussion id,awaken unit id,awaken materials,attribute,collection view,style type,base class,max class,rankup,boss,summoned level,max level,base con,base atk,base def,resistance,accuracy,base speed,critical rate,critical damage,base skill,leader skill,awaken type,awaken skill,collision,roaming standby,height,animate data,attack data,dat name,texture attrib,blend alpha,cullface,scale,view scale,shadow,eft scale,center bone,head offset,thumbnail,add mesh,default effect,passive effect,rare class,rare effect,move,buff immunity,melee dist,select offset,battle effect
10101,Fairy (water),페어리(물),10100,10100,10111,"[[12001,5], [11001,10], [12006, 10], [11006, 15]]",1,"[0, 1, 1, 1, 1, 1, 1]",4,3,6,1,0,1,40,50,44,56,15,0,103,15,50,"[1101, 1106]","[1001, 0, 0, 7, 0.20]",2,"[0, 1111]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""BUFF"", 2, 1500]]","[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,0,0]",[],[],[],6,"[[2001, 1, 4]]",[],[],0,"[0,0,0]",[]
10102,Fairy (Fire),페어리(불),10100,10100,10112,"[[12002,5], [11002,10], [12006, 10], [11006, 15]]",2,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,53,51,46,15,0,101,15,50,"[1102, 1107, 1112]",[],1,"[0, 0]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""ATK_1"", 2, 900], [""ATK_2"", 2, 1000]]","[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,1,0]",[],[],[],6,"[[2002, 1, 4]]",[],[],0,"[0,0,0]",[]
10103,Fairy (wind),페어리(바람),10100,10100,10113,"[[12003,5], [11003,10], [12006, 10], [11006, 15]]",3,"[0, 1, 1, 1, 1, 1, 1]",4,2,6,1,0,1,40,45,48,42,15,0,103,15,50,"[1103, 1108]",[],2,"[0, 1113]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""BUFF"", 2, 1500]]","[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,2,0]",[],[],[],6,"[[2003, 1, 4]]",[],[],0,"[0,0,0]",[]
10104,Fairy (light),페어리(빛),10100,10100,10114,"[[12004,5], [11004,10], [12006, 10], [11006, 15]]",4,"[0, 1, 1, 1, 1, 1, 1]",4,3,6,1,0,1,40,56,56,38,15,0,100,15,50,"[1104, 1109]","[1001, 0, 0, 7, 0.20]",2,"[0, 1114]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""BUFF"", 2, 1500]]","[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,3,0]",[],[],[],6,"[[2004, 1, 4]]",[],[],0,"[0,0,0]",[]
10105,Fairy (Dark),페어리(어둠),10100,10100,10115,"[[12005,5], [11005,10], [12006, 10], [11006, 15]]",5,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,43,49,43,15,0,101,15,50,"[1105, 1110]",[],2,"[0, 1115]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""ATK_1"", 2, 900], [""ATK_1"", 2, 900]]","[""unit_mdl_fairy.dat""]",[],0,1,100,110,50,100,0,0,"[0,4,0]",[],[],[],6,"[[2005, 1, 4]]",[],[],0,"[0,0,0]",[]
10111,Fairy (water),페어리(물),10100,10100,-1,[],1,"[0, 1, 1, 1, 1, 1, 1]",4,4,6,1,0,1,40,55,57,53,15,0,104,15,50,"[1101, 1106, 1111]","[1001, 0, 0, 7, 0.20]",2,"[0, 1111]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""BUFF"", 2, 1500], [""ATK_1"", 2, 900]]","[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,0,1]",[],[],[],6,"[[2001, 1, 4]]",[],[],0,"[0,0,0]",[]
10112,Fairy (Fire),페어리(불),10100,10100,-1,[],2,"[0, 1, 1, 1, 1, 1, 1]",1,4,6,1,0,1,40,51,66,48,15,0,102,30,50,"[1102, 1107, 1112]",[],1,"[0, 0]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""ATK_1"", 2, 900], [""ATK_2"", 2, 1000]]","[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,1,1]",[],[],[],6,"[[2002, 1, 4]]",[],[],0,"[0,0,0]",[]
10113,Fairy (wind),페어리(바람),10100,10100,-1,[],3,"[0, 1, 1, 1, 1, 1, 1]",4,3,6,1,0,1,40,48,55,47,15,0,104,15,50,"[1103, 1108, 1113]",[],2,"[0, 1113]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""BUFF"", 2, 1500], [""ATK_1"", 2, 900]]","[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,2,1]",[],[],[],6,"[[2003, 1, 4]]",[],[],0,"[0,0,0]",[]
10114,Fairy (light),페어리(빛),10100,10100,-1,[],4,"[0, 1, 1, 1, 1, 1, 1]",4,4,6,1,0,1,40,64,62,39,15,0,101,15,50,"[1104, 1109, 1114]","[1001, 0, 0, 7, 0.20]",2,"[0, 1114]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""BUFF"", 2, 1500], [""BUFF"", 2, 1500]]","[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,3,1]",[],[],[],6,"[[2004, 1, 4]]",[],[],0,"[0,0,0]",[]
10115,Fairy (Dark),페어리(어둠),10100,10100,-1,[],5,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,47,56,47,15,0,102,15,50,"[1105, 1110, 1115]",[],2,"[0, 1115]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_1"", 2, 900], [""ATK_1"", 2, 900], [""ATK_1"", 2, 900]]","[""unit_mdl_fairy_hr.dat""]",[],0,1,100,110,50,100,0,0,"[0,4,1]",[],[],[],6,"[[2005, 1, 4]]",[],[],0,"[0,0,0]",[]
10201,Imp (water),임프(물),10200,10200,10211,"[[11001,20], [11006, 15]]",1,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,28,59,48,15,0,110,15,50,"[1201, 1206]",[],2,"[0, 1211]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_2"", 2, 1075]]","[""unit_mdl_imp_water.dat""]",[],0,1,100,130,60,100,0,0,"[0,0,2]",[],[],[],6,"[[3001, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10202,Imp (Bull),임프(불),10200,10200,10212,"[[11002,20], [11006, 15]]",2,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,39,55,41,15,0,114,15,50,"[1202, 1207]",[],2,"[0, 1212]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_1"", 1, 278, ""DASH_1""]]","[""unit_mdl_imp.dat""]",[],0,1,100,130,60,100,0,0,"[0,1,2]",[],[],[],6,"[[3002, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10203,Imp (wind),임프(바람),10200,10200,10213,"[[11003,20], [11006, 15]]",3,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,31,60,44,15,0,115,15,50,"[1203, 1208]",[],2,"[0, 1213]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_1"", 1, 278, ""DASH_1""]]","[""unit_mdl_imp.dat""]",[],0,1,100,130,60,100,0,0,"[0,2,2]",[],[],[],6,"[[3003, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
